,FORECAST
0,93.8945574760437
1,83.2278561592102
2,53.242836475372314
3,65.92378616333008
4,67.3477258682251
5,76.16586017608643
6,70.51940727233887
7,65.03272438049316
8,60.07604742050171
9,40.73367929458618
10,45.46443557739258
11,40.0137300491333
12,41.00801420211792
13,34.40864133834839
14,46.162193775177
15,41.128854751586914
16,41.7872633934021
17,42.26736545562744
18,40.596378803253174
19,26.896815299987793
20,11.947746947407722
21,18.826059341430664
22,15.15849494934082
23,20.93380117416382
24,35.99125862121582
25,39.11057996749878
26,34.39232540130615
27,48.08276605606079
28,50.32281732559204
29,59.63037347793579
30,48.607909202575684
31,56.495784282684326
32,54.54247331619263
33,60.49483680725098
34,62.94962692260742
35,67.16142511367798
36,73.89962959289551
37,61.66786289215088
38,65.75672006607056
39,55.75304841995239
40,86.26184558868408
41,82.48479080200195
42,89.08647465705872
43,96.21645498275757
44,116.94068574905396
45,120.62902927398682
46,119.51448822021484
47,127.56740140914917
48,126.2259407043457
49,131.2443027496338
50,126.13960862159729
51,144.32636499404907
52,139.7320384979248
53,128.9090461730957
54,135.12376928329468
55,133.37975978851318
56,123.75859022140503
57,113.84659194946289
58,122.41015434265137
59,114.42514705657959
60,135.6150541305542
61,126.27435493469238
62,125.89761447906494
63,124.70295715332031
64,127.57130241394043
65,134.10635232925415
66,120.04075241088867
67,126.75544261932373
68,141.21648502349854
69,121.82905113697052
70,116.02660989761353
71,135.54146814346313
72,125.87329149246216
73,142.67040491104126
74,134.43354082107544
75,155.055926322937
76,128.53375244140625
77,128.91281747817993
78,145.05287170410156
79,117.73745250701904
80,125.98290205001831
81,139.75113582611084
82,131.89502573013306
83,111.72245645523071
84,113.42269325256348
85,118.84867763519287
86,113.91393089294434
87,112.68603515625
88,115.242422580719
89,102.87626218795776
90,118.17312908172607
91,114.8103494644165
92,98.20710325241089
93,88.90827178955078
94,85.15429496765137
95,80.71084117889404
96,89.63374900817871
97,76.38696479797363
98,72.78427314758301
99,62.088937759399414
100,74.73781108856201
101,68.99684047698975
102,63.35151386260986
103,66.71599292755127
104,64.0662145614624
105,65.11276340484619
106,60.311657428741455
107,69.9460506439209
108,55.33936548233032
109,44.61764705181122
110,34.002702713012695
111,38.050095081329346
112,31.21037006378174
113,24.68268632888794
114,36.487464427948
115,30.298229694366455
116,27.616732120513916
117,23.839377403259277
118,30.528350830078125
119,30.640392303466797
120,18.334463596343994
121,19.374183654785156
122,27.22031879425049
123,23.748836994171143
124,22.086576461791992
125,11.819189548492432
126,14.74512529373169
127,8.487180709838867
